ds,P_forecast,rhat
2025-10-01,113294.00512948543,-0.006704054163376308
2025-10-02,112533.54948965141,-0.006734860283384686
2025-10-03,111782.10340609809,-0.006699923833412608
2025-10-04,111044.61758568608,-0.006619390259428673
2025-10-05,110324.53902144746,-0.006505704001419937
2025-10-06,109623.7576336013,-0.006372259024607434
2025-10-07,108943.47529348907,-0.006224945319956907
2025-10-08,108284.42946779869,-0.006067800989815512
2025-10-09,107646.71680890115,-0.005906646854436583
2025-10-10,107030.12866024768,-0.005744353498385099
2025-10-11,106434.213040758,-0.005583294734746006
2025-10-12,105858.57244109048,-0.005423095364806543
2025-10-13,105302.51484970254,-0.005266679423227637
2025-10-14,104765.33545690269,-0.005114352938009645
2025-10-15,104246.1599355533,-0.004967923780045076
2025-10-16,103744.39858508723,-0.004824856737920029
2025-10-17,103258.5622910235,-0.004694011951069449
2025-10-18,102787.667427949,-0.004570776990624967
2025-10-19,102330.5653657847,-0.004456969159848966
2025-10-20,101886.77690411876,-0.004346243617939559
2025-10-21,101455.75047433138,-0.004239418884993586
2025-10-22,101036.9635340603,-0.004136322034230025
2025-10-23,100629.93831178301,-0.004036614548374508
2025-10-24,100234.21498623866,-0.003940213632180367
2025-10-25,99849.32229331089,-0.003847324701702632
2025-10-26,99474.79354018682,-0.0037579917746673828
2025-10-27,99110.17571234243,-0.003672163497060861
2025-10-28,98755.05702241226,-0.003589504495731993
2025-10-29,98409.06635995508,-0.0035096752053653145
2025-10-30,98071.85203424904,-0.003432543572782591
