ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,fg_fng_value,fg_fng_value_lower,fg_fng_value_upper,fg_fng_value_ma30,fg_fng_value_ma30_lower,fg_fng_value_ma30_upper,gt_bitcoin_ma30,gt_bitcoin_ma30_lower,gt_bitcoin_ma30_upper,hr_hash_rate_ma30,hr_hash_rate_ma30_lower,hr_hash_rate_ma30_upper,m2_ma30,m2_ma30_lower,m2_ma30_upper,macd_signal_9,macd_signal_9_lower,macd_signal_9_upper,sma_200,sma_200_lower,sma_200_upper,sma_50,sma_50_lower,sma_50_upper,spx_close,spx_close_lower,spx_close_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-06-28,40450.27693876653,58896.1936117489,62800.96054655769,40450.27693876653,40450.27693876653,20363.460079473334,20363.460079473334,20363.460079473334,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,25.541231671140178,25.541231671140178,25.541231671140178,363.53329626012453,363.53329626012453,363.53329626012453,0.0,0.0,0.0,60813.737018239866
2024-06-29,40481.23756536099,59035.85763647568,62783.5341857532,40481.23756536099,40481.23756536099,20312.55112522907,20312.55112522907,20312.55112522907,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-57.61211337846069,-57.61211337846069,-57.61211337846069,395.7776870654657,395.7776870654657,395.7776870654657,0.0,0.0,0.0,60793.78869059007
2024-06-30,40512.19819195547,58992.901489952805,62839.07974693106,40512.19819195547,40512.19819195547,20378.835204944466,20378.835204944466,20378.835204944466,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-26.102672469140014,-26.102672469140014,-26.102672469140014,430.55232587153847,430.55232587153847,430.55232587153847,0.0,0.0,0.0,60891.03339689993
2024-07-01,40543.15881854994,59176.70529863154,62968.69528896272,40543.15881854994,40543.15881854994,20534.032678708576,20534.032678708576,20534.032678708576,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,92.98707490712235,92.98707490712235,92.98707490712235,466.6600522593875,466.6600522593875,466.6600522593875,0.0,0.0,0.0,61077.19149725852
2024-07-02,40574.1194451444,59050.72038847475,62958.41461459724,40574.1194451444,40574.1194451444,20403.120629276844,20403.120629276844,20403.120629276844,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-74.17008648071408,-74.17008648071408,-74.17008648071408,502.90516421548807,502.90516421548807,502.90516421548807,0.0,0.0,0.0,60977.24007442125
2024-07-03,40605.08007173888,59083.59456850755,63157.690327316406,40605.08007173888,40605.08007173888,20586.890882290067,20586.890882290067,20586.890882290067,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,74.38469266300861,74.38469266300861,74.38469266300861,538.1206380849892,538.1206380849892,538.1206380849892,0.0,0.0,0.0,61191.97095402895
2024-07-04,40636.04069833335,59186.300588982296,63038.15756795654,40636.04069833335,40636.04069833335,20510.550959377135,20510.550959377135,20510.550959377135,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-35.0281269129788,-35.0281269129788,-35.0281269129788,571.1935347480471,571.1935347480471,571.1935347480471,0.0,0.0,0.0,61146.59165771049
2024-07-05,40667.00132492782,59243.1682871718,63152.23740515746,40667.00132492782,40667.00132492782,20601.0147679617,20601.0147679617,20601.0147679617,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,25.541231670981198,25.541231670981198,25.541231670981198,601.0879847486511,601.0879847486511,601.0879847486511,0.0,0.0,0.0,61268.01609288952
2024-07-06,40697.961951522295,59326.03996727604,63077.78000077334,40697.961951522295,40697.961951522295,20543.638674626178,20543.638674626178,20543.638674626178,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-57.61211337888226,-57.61211337888226,-57.61211337888226,626.8652364629932,626.8652364629932,626.8652364629932,0.0,0.0,0.0,61241.60062614847
2024-07-07,40728.92257811677,59261.60210721832,63328.12904638618,40728.92257811677,40728.92257811677,20595.983234069376,20595.983234069376,20595.983234069376,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-26.102672468686354,-26.102672468686354,-26.102672468686354,647.7003549959963,647.7003549959963,647.7003549959963,0.0,0.0,0.0,61324.905812186145
2024-07-08,40759.883204711245,59626.306223154555,63567.242407168975,40759.883204711245,40759.883204711245,20730.267898313523,20730.267898313523,20730.267898313523,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,92.98707490758045,92.98707490758045,92.98707490758045,662.8952718638765,662.8952718638765,662.8952718638765,0.0,0.0,0.0,61490.151103024764
2024-07-09,40790.843831305705,59442.34003834723,63427.386433540865,40790.843831305705,40790.843831305705,20572.10346811447,20572.10346811447,20572.10346811447,19974.385551542066,19974.385551542066,19974.385551542066,-843.0676177951417,-843.0676177951417,-843.0676177951417,-1092.6133127913236,-1092.6133127913236,-1092.6133127913236,86.22695744576474,86.22695744576474,86.22695744576474,-2036.5213921876034,-2036.5213921876034,-2036.5213921876034,-1836.58069560183,-1836.58069560183,-1836.58069560183,-3145.1267918576505,-3145.1267918576505,-3145.1267918576505,-5350.314306088651,-5350.314306088651,-5350.314306088651,29525.742735329954,29525.742735329954,29525.742735329954,4666.63997508855,4666.63997508855,4666.63997508855,-74.17008648079424,-74.17008648079424,-74.17008648079424,671.8880030531974,671.8880030531974,671.8880030531974,0.0,0.0,0.0,61362.94729942018
