ds,y,sma_50,sma_200,spx_close,hr_hash_rate_ma30,m2_ma30,fg_fng_value_ma30,gt_bitcoin_ma30,fg_fng_value,macd_signal_9
2019-06-16,8994.48828125,7477.428193359375,6942.86709132339,2886.97998046875,53997784.21706168,14630.239999999998,61.833333333333336,9.7741,80.0,239.28495423852792
2019-06-17,9320.3525390625,7558.1324609375,6978.351948752332,2889.669921875,53931125.774831794,14636.506666666666,62.4,9.852433333333332,84.0,257.5874240267022
2019-06-18,9081.7626953125,7634.8206640625,7009.284459731158,2917.75,53864467.33260192,14642.773333333333,62.833333333333336,9.871999999999998,83.0,276.2665165972529
2019-06-19,9273.521484375,7713.2765625,7042.099489073822,2926.4599609375,54248922.92163515,14649.04,63.13333333333333,9.813266666666667,82.0,296.63221234243855
2019-06-20,9527.16015625,7795.7658203125,7077.600355747768,2954.179931640625,54633378.51066838,14655.306666666667,63.56666666666667,9.7741,81.0,320.3580069176363
2019-06-21,10144.556640625,7888.551279296875,7120.796923140405,2950.4599609375,54410968.86948779,14662.929999999998,64.06666666666666,9.8916,84.0,354.066140607891
2019-06-22,10701.69140625,7987.21931640625,7170.531568739149,2950.4599609375,54188559.22830721,14670.553333333331,64.66666666666667,10.283333333333331,83.0,400.34574643611
2019-06-23,10855.37109375,8087.703388671875,7221.008822506421,2950.4599609375,54711001.67482112,14677.33,65.33333333333333,10.449833333333334,84.0,453.6182547599533
2019-06-24,11011.1025390625,8192.01126953125,7272.226305162584,2945.35009765625,55233444.121335015,14684.106666666665,65.7,10.675066666666664,80.0,509.9318624735988
2019-06-25,11790.9169921875,8312.893466796875,7332.475514322917,2917.3798828125,55192860.48831093,14690.883333333331,66.36666666666666,10.9689,87.0,576.478766287947
2019-06-26,13016.2314453125,8456.62806640625,7407.26177657278,2913.780029296875,55152276.85528685,14697.66,67.2,11.487966666666669,95.0,664.1864679269111
2019-06-27,11182.806640625,8560.635048828124,7456.294826755276,2924.919921875,55181628.890623294,14704.436666666666,67.9,11.928666666666668,92.0,729.7945277729036
2019-06-28,12407.33203125,8685.29111328125,7519.769662710337,2941.760009765625,55210980.92595974,14707.2,67.6,12.2029,62.0,795.9849154526903
2019-06-29,11959.37109375,8796.901552734374,7575.967149179193,2941.760009765625,55709912.030533865,14709.963333333337,67.63333333333334,12.300833333333337,74.0,850.1093196788144
2019-06-30,10817.1552734375,8869.149228515626,7616.482000732421,2941.760009765625,56208843.13510799,14713.083333333334,68.2,12.369400000000002,78.0,873.672751121293
2019-07-01,10583.134765625,8941.3644921875,7653.107343508874,2964.330078125,56222517.10733605,14716.203333333337,68.3,12.5555,65.0,871.1209854253368
2019-07-02,10801.677734375,9001.09974609375,7691.504543397485,2973.010009765625,56236191.07956412,14719.323333333332,68.3,12.761166666666666,63.0,853.8357523647361
2019-07-03,11961.26953125,9080.43681640625,7742.947495058358,2995.820068359375,57026698.15022148,14722.443333333333,68.73333333333333,12.8787,79.0,844.7765333460197
2019-07-04,11215.4375,9140.64220703125,7784.2866617838545,2995.820068359375,57817205.22087883,14725.563333333334,69.86666666666666,12.947266666666668,76.0,827.5233887360843
2019-07-05,10978.4599609375,9202.51322265625,7821.865171185662,2990.409912109375,58324435.36260803,14732.656666666668,71.2,13.0354,67.0,800.371957234456
2019-07-06,11208.55078125,9279.806328125,7861.245236418968,2990.409912109375,58831665.50433722,14739.75,72.46666666666667,13.0648,72.0,770.2865492411462
2019-07-07,11450.8466796875,9363.3991015625,7902.505023123204,2990.409912109375,58890293.08176638,14742.45,73.8,13.064799999999998,67.0,742.0493591132615
2019-07-08,12285.9580078125,9445.16447265625,7952.31698885831,2975.949951171875,58948920.65919555,14745.15,74.2,13.2117,74.0,728.0832692103226
2019-07-09,12573.8125,9537.074541015623,8004.243904713834,2979.6298828125,59323228.24863196,14747.85,74.93333333333334,13.417366666666664,84.0,726.727255217879
2019-07-10,12156.5126953125,9620.9382421875,8050.380224609375,2993.070068359375,59697535.83806838,14750.55,76.16666666666667,13.583866666666664,83.0,725.0319439244258
2019-07-11,11358.662109375,9694.51015625,8086.73497059581,2999.909912109375,59867449.30866168,14753.25,76.2,13.740566666666668,62.0,708.8311040987443
2019-07-12,11815.986328125,9773.19294921875,8127.27031143852,3013.77001953125,60037362.77925499,14758.49,75.3,13.867866666666666,33.0,690.0685261460637
2019-07-13,11392.37890625,9841.293095703126,8162.379006006385,3013.77001953125,60288622.9174329,14763.73,75.36666666666666,13.916833333333331,65.0,662.3526509368951
2019-07-14,10256.05859375,9885.363388671874,8184.65219311004,3013.77001953125,60539883.0556108,14767.586666666666,75.16666666666667,13.975600000000002,61.0,610.8389718436005
2019-07-15,10895.08984375,9929.800869140625,8213.183115748356,3014.300048828125,60940208.21538956,14771.443333333333,73.2,14.1323,16.0,555.912867289719
2019-07-16,9477.6416015625,9943.238134765625,8226.35455830892,3004.0400390625,61340533.37516831,14775.3,71.66666666666667,14.191066666666666,34.0,477.8456410047277
2019-07-17,9693.802734375,9962.714951171874,8241.482890020941,2984.419921875,61705213.144007854,14779.156666666668,69.5,14.210666666666668,19.0,391.7260386905228
2019-07-18,10666.482421875,10002.854853515624,8266.227783203125,2995.110107421875,62069892.9128474,14783.013333333334,68.06666666666666,14.240066666666667,40.0,319.69960838544
2019-07-19,10530.732421875,10047.080048828126,8289.101567432133,2976.610107421875,61669074.35666659,14785.41,66.73333333333333,14.279233333333334,42.0,257.3877777182835
2019-07-20,10767.1396484375,10090.932802734374,8313.881948242188,2976.610107421875,61268255.80048577,14787.806666666664,65.16666666666667,14.240066666666667,34.0,207.61645944769344
2019-07-21,10599.10546875,10131.634580078126,8336.50792369276,2976.610107421875,61873245.87809382,14788.846666666668,63.766666666666666,14.083366666666668,42.0,165.16029903925542
2019-07-22,10343.1064453125,10163.637548828125,8356.180458218443,2985.030029296875,62478235.95570185,14789.886666666667,62.4,13.701433333333334,42.0,125.05401131089504
2019-07-23,9900.767578125,10197.472998046876,8371.176449673847,3005.469970703125,62396447.28057834,14790.926666666666,60.93333333333333,13.5741,40.0,81.18073446150959
2019-07-24,9811.92578125,10239.55609375,8385.02980863131,3019.56005859375,62314658.605454825,14791.966666666667,58.93333333333333,13.437,20.0,35.64384518287634
2019-07-25,9911.841796875,10281.30830078125,8399.570875186011,3003.669921875,62762541.09504271,14793.006666666664,57.43333333333333,13.192133333333334,42.0,-7.035783014144104
2019-07-26,9870.3037109375,10322.27390625,8413.44571325914,3025.860107421875,63210423.5846306,14792.97,55.06666666666667,12.516366666666666,24.0,-46.33387861304132
2019-07-27,9477.677734375,10350.9484375,8423.391806914427,3025.860107421875,63629351.894432895,14792.933333333332,53.56666666666667,12.0267,47.0,-87.61093784513736
2019-07-28,9552.8603515625,10382.9230859375,8433.849848994503,3025.860107421875,64048280.20423519,14796.91,52.03333333333333,11.6741,16.0,-126.56538369520236
2019-07-29,9519.1455078125,10419.544453125,8443.80668990109,3020.969970703125,64269782.71446189,14800.886666666664,50.2,11.537,19.0,-162.27143658331804
2019-07-30,9607.423828125,10451.686337890626,8454.385027521306,3013.179931640625,64491285.22468858,14804.863333333333,48.333333333333336,11.429266666666669,22.0,-192.29141093073048
2019-07-31,10085.6279296875,10494.844609375,8469.080909522803,2980.3798828125,65165180.13756275,14808.839999999998,47.2,11.272566666666666,31.0,-209.1060265760295
2019-08-01,10399.6689453125,10539.92083984375,8486.318302699498,2953.56005859375,65839075.05043692,14812.816666666668,47.0,11.0865,57.0,-211.2753933577982
2019-08-02,10518.1748046875,10585.665859375,8504.299333690542,2932.050048828125,66101809.26888453,14817.2,46.4,10.978766666666669,61.0,-201.77944895453103
2019-08-03,10821.7265625,10628.22373046875,8524.627642715186,2932.050048828125,66364543.48733215,14821.583333333334,45.9,10.851433333333334,61.0,-180.16681940425133
2019-08-04,10970.1845703125,10670.859921875,8545.893355129076,2932.050048828125,66373891.70478589,14821.993333333334,45.733333333333334,10.733933333333336,62.0,-149.31345866339908
2019-08-05,11805.6533203125,10727.08322265625,8573.994734139278,2844.739990234375,66383239.922239624,14822.403333333334,45.46666666666667,10.841666666666669,64.0,-100.61583925808804
2019-08-06,11478.1689453125,10770.23955078125,8598.816735944178,2881.77001953125,67035488.21544131,14822.813333333334,45.43333333333333,10.9592,66.0,-48.282091988020504
2019-08-07,11941.96875,10827.443671875,8627.148532673464,2883.97998046875,67687736.50864299,14823.223333333332,44.46666666666667,10.939633333333337,45.0,11.096987932524648
2019-08-08,11966.4072265625,10881.30138671875,8655.209530101103,2938.090087890625,67845902.71133606,14823.633333333331,43.7,10.8515,61.0,72.14380571908427
2019-08-09,11862.9365234375,10928.0169140625,8681.940588378906,2918.64990234375,68004068.91402914,14828.513333333332,42.93333333333333,10.7144,60.0,129.22050926397776
2019-08-10,11354.0244140625,10952.20626953125,8704.02392578125,2918.64990234375,68564984.57010911,14833.393333333335,42.833333333333336,10.567466666666666,59.0,172.4028518450431
2019-08-11,11523.5791015625,10968.6440234375,8727.135033779457,2918.64990234375,69125900.22618909,14835.733333333334,43.233333333333334,10.449966666666665,45.0,206.92499343747616
2019-08-12,11382.6162109375,10979.18892578125,8748.72431164253,2882.699951171875,69208758.54559688,14838.073333333334,42.666666666666664,10.420600000000002,48.0,231.48877661096415
2019-08-13,10895.830078125,10976.8834765625,8766.039680727066,2926.320068359375,69291616.86500467,14840.413333333332,42.13333333333333,10.381433333333332,45.0,240.22918135824443
2019-08-14,10051.7041015625,10942.09921875,8776.32499609375,2840.60009765625,69613748.62941234,14842.753333333332,41.96666666666667,10.2933,11.0,224.57854475238435
2019-08-15,10311.5458984375,10888.0055078125,8788.509288969493,2847.60009765625,69935880.39382,14845.093333333332,41.266666666666666,10.2443,13.0,198.09427237032753
2019-08-16,10374.3388671875,10871.83615234375,8800.996136042077,2888.679931640625,70370535.22713101,14846.87,41.666666666666664,10.156133333333337,31.0,166.75836451297266
2019-08-17,10231.744140625,10828.32439453125,8812.17385482788,2888.679931640625,70805190.06044202,14848.646666666667,41.0,10.009233333333333,20.0,131.369133976556
2019-08-18,10345.810546875,10796.05318359375,8824.062511355378,2888.679931640625,71124240.17824025,14851.883333333331,40.06666666666667,9.9113,14.0,96.81496731562476
2019-08-19,10916.0537109375,10798.03115234375,8840.154751352164,2923.64990234375,71443290.2960385,14855.12,39.93333333333333,9.9113,30.0,73.4728247688398
2019-08-20,10763.232421875,10801.63310546875,8854.834733569895,2900.510009765625,71787142.7200547,14858.356666666665,39.833333333333336,9.9309,39.0,55.776161565097475
2019-08-21,10138.0498046875,10788.360546875,8864.556059866241,2924.429931640625,72130995.14407091,14861.593333333332,38.8,9.9211,11.0,32.444115093310025
2019-08-22,10131.0556640625,10751.75626953125,8874.07861328125,2922.949951171875,72369819.56336567,14864.83,37.63333333333333,9.862333333333334,5.0,6.617489865215752
2019-08-23,10407.96484375,10735.60681640625,8885.525525448928,2847.110107421875,72608643.9826604,14867.633333333331,38.06666666666667,9.793766666666668,33.0,-15.015972992031635
2019-08-24,10159.9609375,10719.2368359375,8894.965787760417,2847.110107421875,73068116.18277438,14870.436666666668,37.96666666666667,9.715433333333332,39.0,-36.80971407847185
2019-08-25,10138.517578125,10697.836171875,8904.109550924863,2847.110107421875,73527588.38288835,14874.316666666668,38.266666666666666,9.666466666666668,33.0,-57.81967002436848
2019-08-26,10370.8203125,10676.23564453125,8914.815468892564,2878.3798828125,73569083.69828168,14878.196666666669,38.06666666666667,9.637066666666668,41.0,-73.39895084535426
2019-08-27,10185.5,10634.226484375,8924.023327813633,2869.159912109375,73610579.01367497,14882.076666666668,38.53333333333333,9.637066666666668,30.0,-87.54708435789914
2019-08-28,9754.4228515625,10577.83869140625,8929.997425106789,2887.93994140625,73649337.35937959,14885.956666666669,38.96666666666667,9.627266666666666,32.0,-106.73458054644396
2019-08-29,9510.2001953125,10524.91244140625,8934.141730608259,2924.580078125,73688095.70508422,14889.836666666668,38.9,9.627266666666666,20.0,-131.72797151964272
2019-08-30,9598.173828125,10489.70267578125,8938.851178108378,2926.4599609375,73833913.45957316,14891.653333333334,38.666666666666664,9.5881,24.0,-157.34638738671998
2019-08-31,9630.6640625,10445.99623046875,8943.723099829445,2926.4599609375,73979731.21406211,14893.47,37.43333333333333,9.509733333333331,20.0,-181.1366100979271
2019-09-01,9757.970703125,10413.30806640625,8949.41713901333,2926.4599609375,73987530.51709557,14894.88,36.2,9.4118,24.0,-200.0898838981487
2019-09-02,10346.7607421875,10415.122109375,8959.120914035373,2926.4599609375,73995329.82012905,14896.29,35.1,9.402,28.0,-205.16804338438337
