feature,rank
btc_sma_ratio_4,1
gt_bitcoin_z_13,1
hr_hash_rate_z_13,1
m2_chg_1w,1
m2_chg_4w,1
m2_chg_1w_l1,1
m2_chg_1w_l2,1
m2_chg_1w_l4,1
m2_chg_1w_l8,1
fg_fng_value_z13w,1
gt_bitcoin_z13w,1
btc_sma_ratio_13,1
hr_hash_rate_z13w,1
btc_eth_ratio_chg_1w,1
fg_fng_value_z13w_l1,1
fg_fng_value_z13w_l2,1
fg_fng_value_z13w_l3,1
gt_bitcoin_z13w_l7,1
gt_bitcoin_z13w_l8,1
gt_bitcoin_z13w_l9,1
gt_bitcoin_z13w_l10,1
gt_bitcoin_z13w_l11,1
gt_bitcoin_z13w_l12,1
btc_eth_ratio,1
gt_bitcoin_z13w_l13,1
gt_bitcoin_z13w_l14,1
btc_sma_4,1
btc_high,1
btc_low,1
eth_open,1
eth_high,1
eth_low,1
eth_close,1
spx_close,1
m2,1
btc_volume,1
eth_volume,1
fg_fng_value,1
gt_bitcoin,1
hr_hash_rate,1
btc_volume_log1p,1
btc_ret_1w,1
btc_ret_4w,1
btc_ret_12w,1
eth_ret_1w,1
eth_ret_4w,1
spx_ret_1w,1
btc_vol_4w,1
btc_vol_13w,1
btc_sma_13,1
fg_fng_value_z_13,2
btc_open,3
