feature,gain
eth_ret1d_l3,0.008998599834740162
spx_ret1d_l2,0.007647770456969738
sma_50,0.007636192254722118
hr_hash_rate_z91d,0.006634972989559174
macd_hist,0.006630278192460537
btc_ret1d_l3,0.00655019748955965
fg_fng_value_z91d,0.006496042013168335
btc_ret1d,0.006460671313107014
spx_ret1d_l5,0.006281426176428795
btc_ret5d,0.006254314444959164
sma_200,0.006167802959680557
spx_ret1d_l1,0.006083038169890642
fg_fng_value_ma30,0.006064313463866711
eth_ret1d,0.005967822391539812
gt_bitcoin_ma30,0.005913333501666784
btc_ret20d,0.005878991447389126
sma_ratio_50_200,0.005871262401342392
gt_bitcoin_z91d_l28,0.005816071759909391
gt_bitcoin_z91d_l7,0.005772631615400314
btc_ret1d_l1,0.005759228952229023
vol_20d,0.005757911596447229
btc_ret1d_l5,0.0057073924690485
macd_line,0.0056576416827738285
fg_fng_value_z91d_l1,0.005636247340589762
eth_ret1d_l1,0.005522127728909254
macd_hist_l1,0.005477576050907373
sma_10,0.005444235634058714
rsi_14_l1,0.00535720307379961
rsi_14_l5,0.00531754968687892
rsi_14,0.00530429370701313
fg_fng_value_z91d_l14,0.005195812322199345
spx_ret1d,0.005175813566893339
rsi_14_l3,0.005129414144903421
fg_fng_value_z91d_l7,0.005116106942296028
btc_ret1d_l2,0.005051559768617153
btc_volume_log1p,0.005037686321884394
btc_ret1d_l10,0.005012274254113436
eth_ret1d_l2,0.00496554933488369
fg_fng_value_z91d_l3,0.0049540260806679726
sma_ratio_10_50,0.004950986243784428
macd_signal,0.004913214594125748
sma_20,0.004903084598481655
macd_hist_l5,0.004788300953805447
hr_hash_rate_ma30,0.004710895475000143
gt_bitcoin_z91d,0.004500405862927437
vol_10d,0.004493029322475195
macd_hist_l3,0.00440107611939311
gt_bitcoin_z91d_l14,0.004316168837249279
m2_chg1d,0.002958810655400157
