ds,P_hat
2025-10-03,107812.1081674752
2025-10-10,105944.31723400964
2025-10-17,104108.88484570596
2025-10-24,102305.25040692886
2025-10-31,100532.86303408243
2025-11-07,98791.18138735396
2025-11-14,97079.67350537269
2025-11-21,95397.81664273288
2025-11-28,93745.09711033196
2025-12-05,92121.01011847449
2025-12-12,90525.05962269442
2025-12-19,88956.75817224836
2025-12-26,87415.62676123362
2026-01-02,85901.19468228557
2026-01-09,84412.99938280958
2026-01-16,82950.58632370374
2026-01-23,81513.5088405291
2026-01-30,80101.32800708505
2026-02-06,78713.61250134818
2026-02-13,77349.93847373378
2026-02-20,76009.8894176395
2026-02-27,74693.05604223188
2026-03-06,73399.03614743677
2026-03-13,72127.43450109541
2026-03-20,70877.86271824886
2026-03-27,69649.9391425136
2026-04-03,68443.28872951238
2026-04-10,67257.54293232449
2026-04-17,66092.33958892057
2026-04-24,64947.32281154756
2026-05-01,63822.142878029976
2026-05-08,62716.4561249544
2026-05-15,61629.924842704415
2026-05-22,60562.217172314064
2026-05-29,59513.00700410824
2026-06-05,58481.97387809912
2026-06-12,57468.8028861081
2026-06-19,56473.18457558354
2026-06-26,55494.8148550847
2026-07-03,54533.39490140322
2026-07-10,53588.631068293544
2026-07-17,52660.234796784716
2026-07-24,51747.92252704584
2026-07-31,50851.41561177847
2026-08-07,49970.44023110947
2026-08-14,49104.72730895824
2026-08-21,48254.01243085292
2026-08-28,47418.03576317032
2026-09-04,46596.54197377502
2026-09-11,45789.280154033324
2026-09-18,44996.00374217832
2026-09-25,44216.470448002576
