ds,P_forecast,P_bull_1sigma,P_bear_1sigma,rhat
2025-10-10,115235.88341771967,122612.43207637373,108303.11904090413,0.010290877893567085
2025-10-17,116427.88467300446,123880.73643274131,109423.40770463615,0.010290877893567085
2025-10-24,117632.21600248541,125162.16014342834,110555.28464672249,0.010290877893567085
2025-10-31,118849.00494858666,126456.83891518132,111698.86973644287,0.010290877893567085
2025-11-07,120078.38037303262,127764.90985849882,112854.28408300619,0.010290877893567085
2025-11-14,121320.47247049477,129086.51150215195,114021.65004837635,0.010290877893567085
2025-11-21,122575.41278237975,130421.78380785494,115201.09126023077,0.010290877893567085
2025-11-28,123843.33421075995,131770.86818508757,116392.73262505287,0.010290877893567085
2025-12-05,125124.37103244825,133133.9075060708,117596.7003413602,0.010290877893567085
2025-12-12,126418.65891321842,134511.04612089746,118813.12191306915,0.010290877893567085
2025-12-19,127726.33492217245,135902.42987281937,120042.126162998,0.010290877893567085
2025-12-26,129047.53754625667,137308.20611369246,121283.84324650973,0.010290877893567085
2026-01-02,130382.40670492793,138728.523719582,122538.40466529582,0.010290877893567085
2026-01-09,131731.08376497144,140163.53310652895,123805.94328130272,0.010290877893567085
2026-01-16,133093.71155547205,141613.3862464793,125086.59333080231,0.010290877893567085
2026-01-23,134470.4343829402,143078.2366833787,126380.49043860796,0.010290877893567085
2026-01-30,135861.39804659455,144558.23954943297,127687.77163243758,0.010290877893567085
2026-02-06,137266.7498538024,146053.55158153726,129008.57535742538,0.010290877893567085
2026-02-13,138686.6386356802,147564.33113787486,130343.04149078351,0.010290877893567085
2026-02-20,140121.214762855,149090.73821468788,131691.3113566156,0.010290877893567085
2026-02-27,141570.63016138936,150632.93446322135,133053.52774088335,0.010290877893567085
2026-03-06,143035.0383288707,152191.08320684248,134429.83490652803,0.010290877893567085
2026-03-13,144514.59435066715,153765.3494583373,135820.3786087484,0.010290877893567085
2026-03-20,146009.45491635168,155355.8999373859,137225.30611043653,0.010290877893567085
2026-03-27,147519.77833629586,156962.9030882186,138644.76619777363,0.010290877893567085
2026-04-03,149045.72455843556,158586.52909745462,140078.90919598663,0.010290877893567085
2026-04-10,150587.4551852098,160226.9499121256,141527.88698526841,0.010290877893567085
2026-04-17,152145.13349067513,161884.33925788503,142991.8530168622,0.010290877893567085
2026-04-24,153718.92443779664,163558.87265740664,144470.9623293126,0.010290877893567085
2026-05-01,155308.99469591823,165250.7274489725,145965.37156488464,0.010290877893567085
2026-05-08,156915.5126584133,166960.08280525394,147475.23898615266,0.010290877893567085
2026-05-15,158538.6484605182,168687.1197522863,149000.7244927608,0.010290877893567085
2026-05-22,160178.57399735,170432.0211886403,150541.989638357,0.010290877893567085
2026-05-29,161835.46294211084,172194.97190479148,152099.19764770175,0.010290877893567085
2026-06-05,163509.49076448035,173976.15860269012,153672.51343395442,0.010290877893567085
2026-06-12,165200.83474919846,175775.76991553354,155262.10361613784,0.010290877893567085
2026-06-19,166909.67401484045,177593.9964277429,156868.13653678395,0.010290877893567085
2026-06-26,168636.18953278608,179431.03069514685,158490.78227976162,0.010290877893567085
2026-07-03,170380.5641463851,181287.06726537348,160130.21268828918,0.010290877893567085
2026-07-10,172142.98259032087,183162.30269845383,161786.6013831331,0.010290877893567085
2026-07-17,173923.6315101744,185056.93558763806,163460.12378099497,0.010290877893567085
2026-07-24,175722.69948219066,186971.16658042706,165150.95711308875,0.010290877893567085
2026-07-31,177540.37703324933,188905.1983998218,166859.28044391001,0.010290877893567085
2026-08-07,179376.85666104231,190859.2358657921,168585.27469019938,0.010290877893567085
2026-08-14,181232.33285445973,192833.4859169679,170329.12264010237,0.010290877893567085
2026-08-21,183107.00211418694,194828.1576325546,172091.00897252702,0.010290877893567085
2026-08-28,185001.06297351458,196843.46225447513,173871.12027670204,0.010290877893567085
2026-09-04,186914.71601936384,198879.61320974136,175669.64507193724,0.010290877893567085
2026-09-11,188848.16391352928,200936.8261330565,177486.77382758824,0.010290877893567085
2026-09-18,190801.61141414123,203015.3188896514,179322.69898322775,0.010290877893567085
2026-09-25,192775.26539735045,205115.3115983574,181177.6149690256,0.010290877893567085
2026-10-02,194769.3348792369,207237.02665491743,183051.71822633938,0.010290877893567085
