ds,P_forecast,P_bull_1sigma,P_bear_1sigma,rhat,P_base_prob,P_lo80,P_hi80,P_lo95,P_hi95
2025-10-10,115235.88341771968,122612.43207637372,108303.11904090412,0.010290877893567,115235.88341771967,106433.67144147982,124766.05051028053,102050.45907343313,130124.9298399216
2025-10-17,116427.88467300446,123880.73643274132,109423.40770463616,0.010290877893567,116427.88467300445,104052.93784318866,130274.57571509373,98044.90634031413,138257.58864391598
2025-10-24,117632.2160024854,125162.16014342834,110555.28464672247,0.010290877893567,117632.2160024854,102507.45954906705,134988.5979276648,95306.20017826097,145188.2271643816
2025-10-31,118849.00494858666,126456.83891518132,111698.86973644288,0.010290877893567,118849.00494858663,101386.04125168148,139319.82946454088,93207.31646383573,151544.81979694887
2025-11-07,120078.38037303262,127764.90985849882,112854.2840830062,0.010290877893567,120078.38037303257,100531.24017384797,143426.23654175893,91508.47421187532,157568.11111969696
2025-11-14,121320.47247049476,129086.51150215196,114021.65004837637,0.010290877893567,121320.47247049473,99863.18326659867,147388.22215561228,90088.16216998875,163380.58947957234
2025-11-21,122575.41278237976,130421.78380785494,115201.09126023077,0.010290877893567,122575.4127823797,99334.92016705,151253.27320446738,88875.02411499653,169054.60187926452
2025-11-28,123843.33421075996,131770.86818508757,116392.73262505289,0.010290877893567,123843.33421075987,98916.17521063569,155052.20855717926,87823.08604295543,174637.12697292777
2025-12-05,125124.37103244824,133133.9075060708,117596.7003413602,0.010290877893567,125124.37103244817,98586.13281626276,158806.39374955912,86900.7628669649,180160.7685565829
2025-12-12,126418.65891321842,134511.04612089746,118813.12191306916,0.010290877893567,126418.65891321833,98329.79025797773,162531.38829531884,86085.30417603222,185649.30999995515
2025-12-19,127726.33492217243,135902.42987281937,120042.126162998,0.010290877893567,127726.33492217236,98135.93546813553,166238.96796651074,85359.71645609562,191120.79221868067
2025-12-26,129047.53754625667,137308.20611369246,121283.84324650971,0.010290877893567,129047.53754625657,97995.9451243294,169938.32679121743,84710.93480582458,196589.34215429588
2026-01-02,130382.40670492793,138728.523719582,122538.40466529582,0.010290877893567,130382.40670492781,97903.03034946654,173636.8314391183,84128.67616968647,202066.31973955332
2026-01-09,131731.08376497144,140163.53310652895,123805.94328130272,0.010290877893567,131731.08376497132,97851.742127872,177340.51589206254,83604.68782764599,207561.06960973132
2026-01-16,133093.71155547205,141613.3862464793,125086.59333080232,0.010290877893567,133093.7115554719,97837.63509768737,181054.41773939476,83132.23680842719,213081.43189304246
2026-01-23,134470.4343829402,143078.2366833787,126380.49043860796,0.010290877893567,134470.43438294006,97857.03198086542,184782.81383674432,82705.75232695941,218634.09997955296
2026-01-30,135861.39804659455,144558.23954943297,127687.77163243758,0.010290877893567,135861.39804659438,97906.85421834583,188529.3897607062,82320.56884646934,224224.87766818714
2026-02-06,137266.7498538024,146053.55158153726,129008.57535742538,0.010290877893567,137266.74985380226,97984.49746896894,192297.36440086874,81972.7372994013,229858.86815766903
2026-02-13,138686.6386356802,147564.33113787486,130343.04149078352,0.010290877893567,138686.63863568005,98087.73829960794,196089.5833617215,81658.8836752273,235540.61567337677
2026-02-20,140121.214762855,149090.73821468788,131691.3113566156,0.010290877893567,140121.2147628548,98214.66305207381,199908.59018890164,81376.10127167717,241274.21343361473
2026-02-27,141570.63016138936,150632.93446322135,133053.52774088335,0.010290877893567,141570.63016138916,98363.61279208843,203756.68151449662,81121.86734769704,247063.38721703266
2026-03-06,143035.0383288707,152191.08320684248,134429.83490652803,0.010290877893567,143035.0383288705,98533.14012704938,207635.9503346938,80893.97777776908,252911.5609315964
2026-03-13,144514.59435066715,153765.3494583373,135820.3786087484,0.010290877893567,144514.59435066694,98721.97492171577,211548.32039065985,80690.4951961347,258821.908696605
